t,l,R,eg
0.191000,0.973924,0.075245,0.476026
0.192000,0.973800,0.075634,0.475902
0.193000,0.973675,0.076022,0.475778
0.194000,0.973551,0.076410,0.475654
0.195000,0.973427,0.076798,0.475530
0.196000,0.973303,0.077186,0.475407
0.197000,0.973179,0.077574,0.475283
0.198000,0.973056,0.077961,0.475159
0.199000,0.972932,0.078349,0.475035
0.200000,0.972809,0.078737,0.474911
0.201000,0.972685,0.079124,0.474788
0.202000,0.972562,0.079512,0.474664
0.203000,0.972439,0.079899,0.474540
0.204000,0.972316,0.080287,0.474416
0.205000,0.972193,0.080674,0.474293
0.206000,0.972071,0.081061,0.474169
0.207000,0.971948,0.081448,0.474045
0.208000,0.971825,0.081835,0.473922
0.209000,0.971703,0.082222,0.473798
0.210000,0.971581,0.082609,0.473675
0.211000,0.971459,0.082996,0.473551
0.212000,0.971337,0.083383,0.473428
0.213000,0.971215,0.083770,0.473304
0.214000,0.971093,0.084156,0.473180
0.215000,0.970972,0.084543,0.473057
0.216000,0.970850,0.084929,0.472934
0.217000,0.970729,0.085316,0.472810
0.218000,0.970607,0.085702,0.472687
0.219000,0.970486,0.086088,0.472563
0.220000,0.970365,0.086475,0.472440
0.221000,0.970244,0.086861,0.472316
0.222000,0.970124,0.087247,0.472193
0.223000,0.970003,0.087633,0.472070
0.224000,0.969882,0.088019,0.471946
0.225000,0.969762,0.088405,0.471823
0.226000,0.969642,0.088790,0.471700
0.227000,0.969521,0.089176,0.471577
0.228000,0.969401,0.089562,0.471453
0.229000,0.969281,0.089947,0.471330
0.230000,0.969162,0.090333,0.471207
0.231000,0.969042,0.090718,0.471084
0.232000,0.968922,0.091104,0.470961
0.233000,0.968803,0.091489,0.470837
0.234000,0.968684,0.091874,0.470714
0.235000,0.968564,0.092259,0.470591
0.236000,0.968445,0.092644,0.470468
0.237000,0.968326,0.093029,0.470345
0.238000,0.968208,0.093414,0.470222
0.239000,0.968089,0.093799,0.470099
0.240000,0.967970,0.094183,0.469976
0.241000,0.967852,0.094568,0.469853
0.242000,0.967733,0.094953,0.469730
0.243000,0.967615,0.095337,0.469607
0.244000,0.967497,0.095722,0.469484
0.245000,0.967379,0.096106,0.469361
0.246000,0.967261,0.096490,0.469238
0.247000,0.967143,0.096874,0.469115
0.248000,0.967026,0.097259,0.468993
0.249000,0.966908,0.097643,0.468870
0.250000,0.966791,0.098027,0.468747
0.251000,0.966673,0.098410,0.468624
0.252000,0.966556,0.098794,0.468501
0.253000,0.966439,0.099178,0.468379
0.254000,0.966322,0.099562,0.468256
0.255000,0.966205,0.099945,0.468133
0.256000,0.966089,0.100329,0.468011
0.257000,0.965972,0.100712,0.467888
0.258000,0.965856,0.101095,0.467765
0.259000,0.965739,0.101479,0.467643
0.260000,0.965623,0.101862,0.467520
0.261000,0.965507,0.102245,0.467397
0.262000,0.965391,0.102628,0.467275
0.263000,0.965275,0.103011,0.467152
0.264000,0.965159,0.103394,0.467030
0.265000,0.965044,0.103777,0.466907
0.266000,0.964928,0.104159,0.466785
0.267000,0.964813,0.104542,0.466662
0.268000,0.964697,0.104925,0.466540
0.269000,0.964582,0.105307,0.466417
0.270000,0.964467,0.105689,0.466295
0.271000,0.964352,0.106072,0.466173
0.272000,0.964237,0.106454,0.466050
0.273000,0.964123,0.106836,0.465928
0.274000,0.964008,0.107218,0.465806
0.275000,0.963894,0.107600,0.465683
0.276000,0.963779,0.107982,0.465561
0.277000,0.963665,0.108364,0.465439
0.278000,0.963551,0.108746,0.465317
0.279000,0.963437,0.109127,0.465194
0.280000,0.963323,0.109509,0.465072
0.281000,0.963209,0.109890,0.464950
0.282000,0.963096,0.110272,0.464828
0.283000,0.962982,0.110653,0.464706
0.284000,0.962869,0.111034,0.464584
0.285000,0.962756,0.111416,0.464462
0.286000,0.962642,0.111797,0.464339
0.287000,0.962529,0.112178,0.464217
0.288000,0.962416,0.112559,0.464095
0.289000,0.962304,0.112940,0.463973
0.290000,0.962191,0.113320,0.463851
0.291000,0.962078,0.113701,0.463729
0.292000,0.961966,0.114082,0.463607
0.293000,0.961854,0.114462,0.463486
0.294000,0.961741,0.114843,0.463364
0.295000,0.961629,0.115223,0.463242
0.296000,0.961517,0.115603,0.463120
0.297000,0.961405,0.115983,0.462998
0.298000,0.961294,0.116364,0.462876
0.299000,0.961182,0.116744,0.462754
0.300000,0.961070,0.117124,0.462633
0.301000,0.960959,0.117503,0.462511
0.302000,0.960848,0.117883,0.462389
0.303000,0.960736,0.118263,0.462267
0.304000,0.960625,0.118642,0.462146
0.305000,0.960514,0.119022,0.462024
0.306000,0.960404,0.119401,0.461902
0.307000,0.960293,0.119781,0.461781
0.308000,0.960182,0.120160,0.461659
0.309000,0.960072,0.120539,0.461538
0.310000,0.959961,0.120918,0.461416
0.311000,0.959851,0.121297,0.461295
0.312000,0.959741,0.121676,0.461173
0.313000,0.959631,0.122055,0.461052
0.314000,0.959521,0.122434,0.460930
0.315000,0.959411,0.122813,0.460809
0.316000,0.959301,0.123191,0.460687
0.317000,0.959192,0.123570,0.460566
0.318000,0.959082,0.123948,0.460444
0.319000,0.958973,0.124326,0.460323
0.320000,0.958864,0.124705,0.460202
0.321000,0.958755,0.125083,0.460080
0.322000,0.958646,0.125461,0.459959
0.323000,0.958537,0.125839,0.459838
0.324000,0.958428,0.126217,0.459716
0.325000,0.958320,0.126595,0.459595
0.326000,0.958211,0.126972,0.459474
0.327000,0.958103,0.127350,0.459353
0.328000,0.957994,0.127728,0.459232
0.329000,0.957886,0.128105,0.459111
0.330000,0.957778,0.128482,0.458989
0.331000,0.957670,0.128860,0.458868
0.332000,0.957562,0.129237,0.458747
0.333000,0.957454,0.129614,0.458626
0.334000,0.957347,0.129991,0.458505
0.335000,0.957239,0.130368,0.458384
0.336000,0.957132,0.130745,0.458263
0.337000,0.957025,0.131122,0.458142
0.338000,0.956917,0.131498,0.458021
0.339000,0.956810,0.131875,0.457900
0.340000,0.956703,0.132251,0.457779
0.341000,0.956597,0.132628,0.457658
0.342000,0.956490,0.133004,0.457538
0.343000,0.956383,0.133380,0.457417
0.344000,0.956277,0.133757,0.457296
0.345000,0.956170,0.134133,0.457175
0.346000,0.956064,0.134509,0.457054
0.347000,0.955958,0.134885,0.456934
0.348000,0.955852,0.135260,0.456813
0.349000,0.955746,0.135636,0.456692
0.350000,0.955640,0.136012,0.456572
0.351000,0.955535,0.136387,0.456451
0.352000,0.955429,0.136763,0.456330
0.353000,0.955324,0.137138,0.456210
0.354000,0.955218,0.137513,0.456089
0.355000,0.955113,0.137888,0.455968
0.356000,0.955008,0.138263,0.455848
0.357000,0.954903,0.138638,0.455727
0.358000,0.954798,0.139013,0.455607
0.359000,0.954693,0.139388,0.455486
0.360000,0.954589,0.139763,0.455366
0.361000,0.954484,0.140138,0.455246
0.362000,0.954380,0.140512,0.455125
0.363000,0.954275,0.140886,0.455005
0.364000,0.954171,0.141261,0.454884
0.365000,0.954067,0.141635,0.454764
0.366000,0.953963,0.142009,0.454644
0.367000,0.953859,0.142383,0.454523
0.368000,0.953755,0.142757,0.454403
0.369000,0.953652,0.143131,0.454283
0.370000,0.953548,0.143505,0.454163
0.371000,0.953445,0.143879,0.454042
0.372000,0.953341,0.144252,0.453922
0.373000,0.953238,0.144626,0.453802
0.374000,0.953135,0.144999,0.453682
0.375000,0.953032,0.145373,0.453562
0.376000,0.952929,0.145746,0.453442
0.377000,0.952826,0.146119,0.453322
0.378000,0.952724,0.146492,0.453202
0.379000,0.952621,0.146865,0.453082
0.380000,0.952519,0.147238,0.452962
0.381000,0.952416,0.147611,0.452842
0.382000,0.952314,0.147983,0.452722
0.383000,0.952212,0.148356,0.452602
0.384000,0.952110,0.148729,0.452482
0.385000,0.952008,0.149101,0.452362
0.386000,0.951906,0.149473,0.452242
0.387000,0.951805,0.149845,0.452122
0.388000,0.951703,0.150218,0.452003
0.389000,0.951602,0.150590,0.451883
0.390000,0.951500,0.150962,0.451763
0.391000,0.951399,0.151333,0.451643
0.392000,0.951298,0.151705,0.451524
0.393000,0.951197,0.152077,0.451404
0.394000,0.951096,0.152448,0.451284
0.395000,0.950995,0.152820,0.451165
0.396000,0.950895,0.153191,0.451045
0.397000,0.950794,0.153563,0.450925
0.398000,0.950694,0.153934,0.450806
0.399000,0.950593,0.154305,0.450686
0.400000,0.950493,0.154676,0.450567
0.401000,0.950393,0.155047,0.450447
0.402000,0.950293,0.155417,0.450328
0.403000,0.950193,0.155788,0.450208
0.404000,0.950093,0.156159,0.450089
0.405000,0.949994,0.156529,0.449969
0.406000,0.949894,0.156900,0.449850
0.407000,0.949795,0.157270,0.449731
0.408000,0.949695,0.157640,0.449611
0.409000,0.949596,0.158010,0.449492
0.410000,0.949497,0.158380,0.449373
0.411000,0.949398,0.158750,0.449253
0.412000,0.949299,0.159120,0.449134
0.413000,0.949200,0.159490,0.449015
0.414000,0.949102,0.159860,0.448896
0.415000,0.949003,0.160229,0.448777
0.416000,0.948905,0.160599,0.448658
0.417000,0.948806,0.160968,0.448538
0.418000,0.948708,0.161337,0.448419
0.419000,0.948610,0.161706,0.448300
0.420000,0.948512,0.162075,0.448181
0.421000,0.948414,0.162444,0.448062
0.422000,0.948316,0.162813,0.447943
0.423000,0.948218,0.163182,0.447824
0.424000,0.948121,0.163551,0.447705
0.425000,0.948023,0.163919,0.447586
0.426000,0.947926,0.164288,0.447467
0.427000,0.947829,0.164656,0.447349
0.428000,0.947732,0.165025,0.447230
0.429000,0.947634,0.165393,0.447111
0.430000,0.947538,0.165761,0.446992
0.431000,0.947441,0.166129,0.446873
0.432000,0.947344,0.166497,0.446754
0.433000,0.947247,0.166864,0.446636
0.434000,0.947151,0.167232,0.446517
0.435000,0.947054,0.167600,0.446398
0.436000,0.946958,0.167967,0.446280
0.437000,0.946862,0.168335,0.446161
0.438000,0.946766,0.168702,0.446042
0.439000,0.946670,0.169069,0.445924
0.440000,0.946574,0.169436,0.445805
0.441000,0.946478,0.169803,0.445687
0.442000,0.946383,0.170170,0.445568
0.443000,0.946287,0.170537,0.445450
0.444000,0.946192,0.170904,0.445331
0.445000,0.946096,0.171270,0.445213
0.446000,0.946001,0.171637,0.445094
0.447000,0.945906,0.172003,0.444976
0.448000,0.945811,0.172369,0.444858
0.449000,0.945716,0.172736,0.444739
0.450000,0.945621,0.173102,0.444621
0.451000,0.945527,0.173468,0.444503
0.452000,0.945432,0.173834,0.444385
0.453000,0.945338,0.174199,0.444266
0.454000,0.945243,0.174565,0.444148
0.455000,0.945149,0.174931,0.444030
0.456000,0.945055,0.175296,0.443912
0.457000,0.944961,0.175662,0.443794
0.458000,0.944867,0.176027,0.443675
0.459000,0.944773,0.176392,0.443557
0.460000,0.944679,0.176757,0.443439
0.461000,0.944586,0.177122,0.443321
0.462000,0.944492,0.177487,0.443203
0.463000,0.944399,0.177852,0.443085
0.464000,0.944305,0.178217,0.442967
0.465000,0.944212,0.178581,0.442849
0.466000,0.944119,0.178946,0.442731
0.467000,0.944026,0.179310,0.442614
0.468000,0.943933,0.179674,0.442496
0.469000,0.943841,0.180038,0.442378
0.470000,0.943748,0.180402,0.442260
0.471000,0.943655,0.180766,0.442142
0.472000,0.943563,0.181130,0.442024
0.473000,0.943471,0.181494,0.441907
0.474000,0.943378,0.181858,0.441789
0.475000,0.943286,0.182221,0.441671
0.476000,0.943194,0.182585,0.441554
0.477000,0.943102,0.182948,0.441436
0.478000,0.943010,0.183311,0.441318
0.479000,0.942919,0.183674,0.441201
0.480000,0.942827,0.184037,0.441083
0.481000,0.942736,0.184400,0.440966
0.482000,0.942644,0.184763,0.440848
0.483000,0.942553,0.185126,0.440731
0.484000,0.942462,0.185489,0.440613
0.485000,0.942371,0.185851,0.440496
0.486000,0.942280,0.186214,0.440378
0.487000,0.942189,0.186576,0.440261
0.488000,0.942098,0.186938,0.440144
0.489000,0.942007,0.187300,0.440026
0.490000,0.941917,0.187662,0.439909
0.491000,0.941826,0.188024,0.439792
0.492000,0.941736,0.188386,0.439674
0.493000,0.941646,0.188748,0.439557
0.494000,0.941556,0.189109,0.439440
0.495000,0.941466,0.189471,0.439323
0.496000,0.941376,0.189832,0.439206
0.497000,0.941286,0.190193,0.439089
0.498000,0.941196,0.190554,0.438971
0.499000,0.941106,0.190915,0.438854
0.500000,0.941017,0.191276,0.438737
0.501000,0.940928,0.191637,0.438620
0.502000,0.940838,0.191998,0.438503
0.503000,0.940749,0.192359,0.438386
0.504000,0.940660,0.192719,0.438269
0.505000,0.940571,0.193080,0.438152
0.506000,0.940482,0.193440,0.438036
0.507000,0.940393,0.193800,0.437919
0.508000,0.940305,0.194160,0.437802
0.509000,0.940216,0.194520,0.437685
0.510000,0.940128,0.194880,0.437568
0.511000,0.940039,0.195240,0.437451
0.512000,0.939951,0.195600,0.437335
0.513000,0.939863,0.195959,0.437218
0.514000,0.939775,0.196319,0.437101
0.515000,0.939687,0.196678,0.436985
0.516000,0.939599,0.197037,0.436868
0.517000,0.939511,0.197396,0.436751
0.518000,0.939423,0.197755,0.436635
0.519000,0.939336,0.198114,0.436518
0.520000,0.939248,0.198473,0.436402
0.521000,0.939161,0.198832,0.436285
0.522000,0.939074,0.199191,0.436169
0.523000,0.938987,0.199549,0.436052
0.524000,0.938900,0.199907,0.435936
0.525000,0.938813,0.200266,0.435819
0.526000,0.938726,0.200624,0.435703
0.527000,0.938639,0.200982,0.435587
0.528000,0.938553,0.201340,0.435470
0.529000,0.938466,0.201698,0.435354
0.530000,0.938380,0.202056,0.435238
0.531000,0.938293,0.202413,0.435122
0.532000,0.938207,0.202771,0.435005
0.533000,0.938121,0.203128,0.434889
0.534000,0.938035,0.203485,0.434773
0.535000,0.937949,0.203843,0.434657
0.536000,0.937863,0.204200,0.434541
0.537000,0.937778,0.204557,0.434425
0.538000,0.937692,0.204914,0.434309
0.539000,0.937606,0.205270,0.434193
0.540000,0.937521,0.205627,0.434077
0.541000,0.937436,0.205984,0.433961
0.542000,0.937350,0.206340,0.433845
0.543000,0.937265,0.206696,0.433729
0.544000,0.937180,0.207053,0.433613
0.545000,0.937095,0.207409,0.433497
0.546000,0.937011,0.207765,0.433381
0.547000,0.936926,0.208121,0.433265
0.548000,0.936841,0.208476,0.433150
0.549000,0.936757,0.208832,0.433034
0.550000,0.936673,0.209188,0.432918
0.551000,0.936588,0.209543,0.432802
0.552000,0.936504,0.209899,0.432687
0.553000,0.936420,0.210254,0.432571
0.554000,0.936336,0.210609,0.432455
0.555000,0.936252,0.210964,0.432340
0.556000,0.936168,0.211319,0.432224
0.557000,0.936085,0.211674,0.432109
0.558000,0.936001,0.212028,0.431993
0.559000,0.935918,0.212383,0.431878
0.560000,0.935834,0.212737,0.431762
0.561000,0.935751,0.213092,0.431647
0.562000,0.935668,0.213446,0.431531
0.563000,0.935585,0.213800,0.431416
0.564000,0.935502,0.214154,0.431301
0.565000,0.935419,0.214508,0.431185
0.566000,0.935336,0.214862,0.431070
0.567000,0.935253,0.215216,0.430955
0.568000,0.935171,0.215569,0.430839
0.569000,0.935088,0.215923,0.430724
0.570000,0.935006,0.216276,0.430609
0.571000,0.934924,0.216629,0.430494
0.572000,0.934841,0.216982,0.430379
0.573000,0.934759,0.217335,0.430263
0.574000,0.934677,0.217688,0.430148
0.575000,0.934595,0.218041,0.430033
0.576000,0.934514,0.218394,0.429918
0.577000,0.934432,0.218746,0.429803
0.578000,0.934350,0.219099,0.429688
0.579000,0.934269,0.219451,0.429573
0.580000,0.934187,0.219803,0.429458
0.581000,0.934106,0.220156,0.429343
0.582000,0.934025,0.220508,0.429229
0.583000,0.933944,0.220860,0.429114
0.584000,0.933863,0.221211,0.428999
0.585000,0.933782,0.221563,0.428884
0.586000,0.933701,0.221915,0.428769
0.587000,0.933620,0.222266,0.428655
0.588000,0.933540,0.222617,0.428540
0.589000,0.933459,0.222969,0.428425
0.590000,0.933379,0.223320,0.428311
0.591000,0.933299,0.223671,0.428196
0.592000,0.933218,0.224022,0.428081
0.593000,0.933138,0.224372,0.427967
0.594000,0.933058,0.224723,0.427852
0.595000,0.932978,0.225074,0.427738
0.596000,0.932899,0.225424,0.427623
0.597000,0.932819,0.225774,0.427509
0.598000,0.932739,0.226125,0.427394
0.599000,0.932660,0.226475,0.427280
0.600000,0.932580,0.226825,0.427166
0.601000,0.932501,0.227175,0.427051
0.602000,0.932422,0.227524,0.426937
0.603000,0.932343,0.227874,0.426823
0.604000,0.932264,0.228223,0.426708
0.605000,0.932185,0.228573,0.426594
0.606000,0.932106,0.228922,0.426480
0.607000,0.932027,0.229271,0.426366
0.608000,0.931948,0.229620,0.426252
0.609000,0.931870,0.229969,0.426137
0.610000,0.931791,0.230318,0.426023
0.611000,0.931713,0.230667,0.425909
0.612000,0.931635,0.231016,0.425795
0.613000,0.931557,0.231364,0.425681
0.614000,0.931479,0.231712,0.425567
0.615000,0.931401,0.232061,0.425453
0.616000,0.931323,0.232409,0.425339
0.617000,0.931245,0.232757,0.425225
0.618000,0.931167,0.233105,0.425111
0.619000,0.931090,0.233453,0.424998
0.620000,0.931012,0.233800,0.424884
0.621000,0.930935,0.234148,0.424770
0.622000,0.930858,0.234495,0.424656
0.623000,0.930780,0.234843,0.424542
0.624000,0.930703,0.235190,0.424429
0.625000,0.930626,0.235537,0.424315
0.626000,0.930549,0.235884,0.424201
0.627000,0.930473,0.236231,0.424088
0.628000,0.930396,0.236578,0.423974
0.629000,0.930319,0.236924,0.423861
0.630000,0.930243,0.237271,0.423747
0.631000,0.930166,0.237617,0.423634
0.632000,0.930090,0.237964,0.423520
0.633000,0.930014,0.238310,0.423407
0.634000,0.929938,0.238656,0.423293
0.635000,0.929862,0.239002,0.423180
0.636000,0.929786,0.239348,0.423066
0.637000,0.929710,0.239693,0.422953
0.638000,0.929634,0.240039,0.422840
0.639000,0.929558,0.240385,0.422726
0.640000,0.929483,0.240730,0.422613
0.641000,0.929407,0.241075,0.422500
0.642000,0.929332,0.241420,0.422387
0.643000,0.929257,0.241765,0.422274
0.644000,0.929182,0.242110,0.422160
0.645000,0.929106,0.242455,0.422047
0.646000,0.929031,0.242800,0.421934
0.647000,0.928957,0.243144,0.421821
0.648000,0.928882,0.243489,0.421708
0.649000,0.928807,0.243833,0.421595
0.650000,0.928732,0.244177,0.421482
0.651000,0.928658,0.244521,0.421369
0.652000,0.928584,0.244865,0.421256
0.653000,0.928509,0.245209,0.421143
0.654000,0.928435,0.245553,0.421031
0.655000,0.928361,0.245896,0.420918
0.656000,0.928287,0.246240,0.420805
0.657000,0.928213,0.246583,0.420692
0.658000,0.928139,0.246927,0.420579
0.659000,0.928065,0.247270,0.420467
0.660000,0.927992,0.247613,0.420354
0.661000,0.927918,0.247956,0.420241
0.662000,0.927845,0.248299,0.420129
0.663000,0.927771,0.248641,0.420016
0.664000,0.927698,0.248984,0.419903
0.665000,0.927625,0.249326,0.419791
0.666000,0.927552,0.249669,0.419678
0.667000,0.927479,0.250011,0.419566
0.668000,0.927406,0.250353,0.419453
0.669000,0.927333,0.250695,0.419341
0.670000,0.927260,0.251037,0.419229
0.671000,0.927187,0.251378,0.419116
0.672000,0.927115,0.251720,0.419004
0.673000,0.927042,0.252061,0.418891
0.674000,0.926970,0.252403,0.418779
0.675000,0.926898,0.252744,0.418667
0.676000,0.926826,0.253085,0.418555
0.677000,0.926754,0.253426,0.418442
0.678000,0.926682,0.253767,0.418330
0.679000,0.926610,0.254108,0.418218
0.680000,0.926538,0.254449,0.418106
0.681000,0.926466,0.254789,0.417994
0.682000,0.926395,0.255129,0.417882
0.683000,0.926323,0.255470,0.417770
0.684000,0.926252,0.255810,0.417658
0.685000,0.926180,0.256150,0.417546
0.686000,0.926109,0.256490,0.417434
0.687000,0.926038,0.256830,0.417322
0.688000,0.925967,0.257169,0.417210
0.689000,0.925896,0.257509,0.417098
0.690000,0.925825,0.257849,0.416986
0.691000,0.925754,0.258188,0.416875
0.692000,0.925684,0.258527,0.416763
0.693000,0.925613,0.258866,0.416651
0.694000,0.925543,0.259205,0.416539
0.695000,0.925472,0.259544,0.416428
0.696000,0.925402,0.259883,0.416316
0.697000,0.925332,0.260221,0.416204
0.698000,0.925261,0.260560,0.416093
